acc,prec,rec,fsc,s,t
0.4275,0.547619,0.055262,0.100393,0,0
0.4275,0.547619,0.055262,0.100393,0.05,0
0.4275,0.547619,0.055262,0.100393,0.1,0
0.4275,0.547619,0.055262,0.100393,0.15,0
0.4275,0.547619,0.055262,0.100393,0.2,0
0.4275,0.547619,0.055262,0.100393,0.25,0
0.4275,0.547619,0.055262,0.100393,0.3,0
0.4275,0.547619,0.055262,0.100393,0.35,0
0.4275,0.547619,0.055262,0.100393,0.4,0
0.4275,0.547619,0.055262,0.100393,0.45,0
0.4275,0.547619,0.055262,0.100393,0.5,0
0.4275,0.547619,0.055262,0.100393,0.55,0
0.4275,0.547619,0.055262,0.100393,0.6,0
0.4275,0.547619,0.055262,0.100393,0.65,0
0.4275,0.547619,0.055262,0.100393,0.7,0
0.4275,0.547619,0.055262,0.100393,0.75,0
0.4275,0.547619,0.055262,0.100393,0.8,0
0.4275,0.547619,0.055262,0.100393,0.85,0
0.4275,0.547619,0.055262,0.100393,0.9,0
0.4275,0.547619,0.055262,0.100393,0.95,0
0.4275,0.547619,0.055262,0.100393,1,0
0.4275,0.547619,0.055262,0.100393,1.05,0
0.4275,0.547619,0.055262,0.100393,1.1,0
0.4275,0.547619,0.055262,0.100393,1.15,0
0.4275,0.547619,0.055262,0.100393,1.2,0
0.4275,0.547619,0.055262,0.100393,1.25,0
0.4275,0.547619,0.055262,0.100393,1.3,0
0.4275,0.547619,0.055262,0.100393,1.35,0
0.4275,0.547619,0.055262,0.100393,1.4,0
0.427222,0.545455,0.054781,0.099563,1.45,0
0.429722,0.627273,0.033157,0.062985,0,0.02
0.429722,0.627273,0.033157,0.062985,0.05,0.02
0.430278,0.638889,0.033157,0.063042,0.1,0.02
0.430278,0.641509,0.032677,0.062186,0.15,0.02
0.430278,0.641509,0.032677,0.062186,0.2,0.02
0.430556,0.64486,0.033157,0.063071,0.25,0.02
0.43,0.638095,0.032196,0.061299,0.3,0.02
0.429722,0.634615,0.031716,0.060412,0.35,0.02
0.429722,0.634615,0.031716,0.060412,0.4,0.02
0.429722,0.634615,0.031716,0.060412,0.45,0.02
0.429722,0.634615,0.031716,0.060412,0.5,0.02
